"","Age","Employment","Education","Marital","Occupation","Income","Gender","Deductions","Hours","RISK_Adjustment","TARGET_Adjusted"
"1004641",38,"Private","College","Unmarried","Service",81838,"Female",0,72,0,0
"1010229",35,"Private","College","Absent","Service",72099,"Male",0,30,0,0
"1024587",32,"Private","HSgrad","Divorced","White_Collar",154676.74,"Male",0,40,0,0
"1038288",45,"Private","Bachelor","Married","Blue_Collar",27743.82,"Male",0,55,7298,1
"1044221",60,"Private","College","Married","White_Collar",7568.23,"Male",0,40,15024,1
"1047095",74,"Private","HSgrad","Married","Service",33144.4,"Male",0,30,0,0
"1047698",43,"Private","Bachelor","Married","White_Collar",43391.17,"Male",0,50,22418,1
"1053888",35,"Private","Pre_HS","Married","Blue_Collar",59906.65,"Male",0,40,0,0
"1061323",25,"Private","College","Divorced","White_Collar",126888.91,"Female",0,40,0,0
"1062363",22,"Private","HSgrad","Absent","Service",52466.49,"Female",0,37,0,0
"1068642",48,"Private","College","Divorced","Service",291416.11,"Female",0,35,0,0
"1071615",60,"Private","College","Widowed","White_Collar",24155.31,"Male",0,40,0,0
"1071878",21,"Private","College","Absent","Service",143254.86,"Female",0,35,0,0
"1077831",21,"Private","College","Absent","Blue_Collar",120554.81,"Male",0,40,0,0
"1084870",50,"Private","Bachelor","Married","White_Collar",34919.16,"Male",0,40,7298,1
"1085176",37,"Private","HSgrad","Divorced","White_Collar",67176.79,"Male",0,35,0,0
"1093662",30,"Consultant","HSgrad","Divorced","Blue_Collar",9608.48,"Male",0,40,0,0
"1094029",32,"Private","HSgrad","Married","Blue_Collar",12475.84,"Male",0,40,0,0
"1099084",65,"SelfEmp_Other","College","Married","Service",32963.39,"Male",0,40,0,0
"1099829",28,"Private","College","Married","White_Collar",31534.97,"Male",0,55,0,0
"1110947",40,"Government","College","Divorced","White_Collar",182165.08,"Female",0,40,0,0
"1113899",41,"Government","Bachelor","Divorced","White_Collar",70603.7,"Male",0,40,0,0
"1126025",30,"Private","HSgrad","Absent","Service",88125.97,"Male",0,30,0,0
"1129687",38,"Private","HSgrad","Married","Blue_Collar",8670.9,"Male",0,40,0,0
"1133761",23,"Private","Pre_HS","Unmarried","Professional",260405.44,"Male",0,35,0,0
"1135666",42,"Government","College","Absent","White_Collar",66139.36,"Female",0,40,0,0
"1139749",26,"Private","Bachelor","Absent","Service",73751.48,"Female",0,40,0,0
"1141887",32,"Consultant","HSgrad","Married","Service",1428.27,"Male",0,60,28235,1
"1142177",49,"Government","College","Married","Service",15345.33,"Male",0,40,0,1
"1142367",26,"Private","HSgrad","Married","Blue_Collar",48114.39,"Male",0,40,0,0
"1142837",28,"Private","Pre_HS","Married","Blue_Collar",33493.89,"Male",0,40,0,0
"1145025",41,"Government","Bachelor","Married","Service",54653.36,"Male",0,24,0,0
"1146358",46,"Private","HSgrad","Absent","Service",229077.27,"Female",0,24,0,0
"1147562",42,"Private","College","Absent","Blue_Collar",59201.06,"Female",0,40,0,0
"1151685",39,"Private","College","Divorced","White_Collar",31036.73,"Female",0,40,0,0
"1153241",50,"Private","Pre_HS","Absent","Blue_Collar",187250.07,"Female",0,40,0,0
"1155672",47,"Government","Bachelor","Absent","Professional",161837.75,"Female",0,40,0,0
"1157546",24,"Private","College","Unmarried","Blue_Collar",193135.59,"Male",0,40,8614,1
"1158519",45,"Private","College","Married","Blue_Collar",26717.49,"Male",0,40,0,0
"1169595",40,"Government","College","Absent","White_Collar",99748.58,"Female",0,40,0,0
"1172381",51,"SelfEmp_Other","Bachelor","Married","Professional",13612.07,"Male",0,40,15024,1
"1172752",77,"Private","HSgrad","Married","Service",39950.92,"Male",0,25,0,0
"1177328",35,"Private","College","Married","Service",44130.45,"Male",0,45,0,0
"1178076",39,"Private","Pre_HS","Divorced","Blue_Collar",78516.3,"Male",0,50,0,0
"1197102",39,"Government","Bachelor","Absent","White_Collar",92268.68,"Female",0,40,0,0
"1199127",63,"SelfEmp_Other","Bachelor","Married","Blue_Collar",9092.19,"Male",0,40,12467,1
"1205484",64,"Private","HSgrad","Widowed","Service",148865.82,"Female",0,38,0,0
"1210411",39,"Private","Bachelor","Married","Professional",21190.02,"Male",0,40,3611,1
"1211118",66,"Private","Pre_HS","Married","Blue_Collar",139087.01,"Female",0,40,0,0
"1212771",18,"SelfEmp_Other","Pre_HS","Absent","Other_Unknown",148836.93,"Female",0,10,0,0
"1216471",42,"Government","College","Married","White_Collar",48422.28,"Male",0,45,3187,1
"1218427",31,"Government","College","Absent","White_Collar",67012.13,"Female",0,40,0,0
"1222601",31,"Private","Bachelor","Married","White_Collar",6333,"Male",2246,45,7582,1
"1226867",45,"Private","College","Absent","Professional",44102.23,"Male",0,40,5222,1
"1230404",19,"Government","College","Absent","Service",97937.09,"Female",0,35,0,0
"1233450",32,"Private","HSgrad","Married","Blue_Collar",14657.59,"Male",0,40,0,0
"1254408",27,"Private","Bachelor","Absent","Professional",89775.14,"Male",0,40,13550,1
"1258702",25,"Private","HSgrad","Married","Service",56417.35,"Male",0,30,0,0
"1259473",21,"Private","College","Absent","White_Collar",43362.93,"Male",0,65,0,0
"1264690",33,"Consultant","HSgrad","Absent","Blue_Collar",214238.62,"Male",0,70,0,0
"1264939",43,"SelfEmp_Other","HSgrad","Absent","Other_Unknown",61192.65,"Female",0,40,0,0
"1267022",31,"Private","Bachelor","Absent","White_Collar",83143.19,"Male",1160.666667,38,0,0
"1272722",56,"Government","Bachelor","Divorced","White_Collar",37078.8,"Male",0,40,0,0
"1273089",62,"SelfEmp_Other","College","Married","Blue_Collar",51230.5,"Male",0,50,0,0
"1276387",28,"Private","College","Absent","Service",166953.87,"Male",0,60,0,0
"1276913",39,"Private","HSgrad","Married","White_Collar",28907.41,"Male",0,40,0,0
"1282955",61,"Government","Bachelor","Absent","Professional",5138.14,"Female",0,25,0,0
"1287816",32,"Private","HSgrad","Absent","Service",82182.54,"Female",0,50,0,0
"1288612",48,"Government","Bachelor","Married","White_Collar",45239,"Male",0,40,12988,1
"1288870",27,"Private","HSgrad","Married","Blue_Collar",25990.54,"Male",0,40,0,0
"1292427",20,"Private","Pre_HS","Absent","Service",104396.02,"Male",0,50,0,0
"1293079",37,"Private","HSgrad","Absent","Blue_Collar",83414.55,"Male",0,40,0,0
"1298943",43,"Private","College","Married","Blue_Collar",32684.53,"Male",0,38,0,0
"1301028",47,"Consultant","HSgrad","Married","Blue_Collar",61231.06,"Male",0,40,7298,1
